Change Request Forms - 2026,,,,,,,,,,,,,,,,,,,,
Month,Client Name,Partner Name,Conversation#,Change Requested By,Change Request Date,Category,Reason for Raising,Change Request,Time Spent on Configuration,Time Spent on Review/Testing,Total Time,No. of Errors,Configuration Analyst,Review/Testing Analyst,Implementation Manager/CRM,Completed Date,Rating,Comments,Billable/Non Billable,
March,ATK Energy Group,TrueNorth,459515,Partner,03/26/2026,Eligibility Setup,"Add “Detroit Energy - Michigan” as a new department, eligibility should match other departments in WFJ, eligibility should match the other departments

Reason for Request:
A new department has been created in Paylocity, and this needs to exist in Workforce Junction to ensure incoming demographic data maps correctly.","Add new departments called Detroit Energy - Michigan
in WFJ, eligibility should match the other departments",0:10,1:30,1:40,,Jeevan S,Kiran B S,Juan,03/26/2026,5,,,
March,ORourke Sales Company,TrueNorth,457114,Partner,03/27/2026,Eligibility Setup,"Create new location (02) Parcel Warehouse – Davenport, IA in the system. Eligibility should match the other locations. 

Reason for Request:
Client is adding a new worksite location for employees. The location must be added so employees can be assigned correctly and so the location can be included in EDI feeds to carriers (Ameritas, Meritain/Aetna, and Transamerica).","Create new location (02) Parcel Warehouse – Davenport, IA in the system. Eligibility should match the other locations. ",0:15,0:50,1:05,,Jeevan S,Nischith,Juan,03/27/2026,5,,,
March,ATK Energy Group,TrueNorth,459758,Partner,03/28/2026,Eligibility Setup,"Request: Add new department Kent Farms to Benefits Junction under ATK Energy. Eligibility should match other departments. 

Reason: Client requested setup to allow enrollment of new employees. This location will not be included in Paylocity file feeds and will be reported to carriers under the existing ATK structure.",Add new department Kent Farms to Benefits Junction under ATK Energy. Eligibility should match other departments.,0:13,1:30,1:43,,Jeevan S,Kiran B S,Juan,03/30/2026,5,,,
May,Don Hummer Trucking,TrueNorth,464638,Client,05/07/2026,Waiting Period Rules,Employer Paid Critical Illness plans to terminate at the end of the month instead of the date of termination. Update the termination rule for Group Accident to terminate on the date of termination instead of the last day of the month following the date of termination. No changes are needed for Voluntary Critical Illness plans. ,"We have updated the Termination rules for the plans Group Accident and Employer Paid Critical Illness
Group Accident - Date of  Termination
Employer Paid Critical Illness - Last day of Month following Date of Termination",0:21,1:30,1:51,,Pratap,Kiran B S,Juan,05/07/2026,5,,,
May,ark data centers,TrueNorth,463295,Partner,05/09/2026,Waiting Period Rules,"Update to the waiting period rules for Mutual of Omaha plans to align with the carrier’s eligibility calculation methodology by changing the rule from “First of the Month Following 30 Day(s) from Date of Hire” to “First of the Month Following 31 Day(s) from Date of Hire.”  

This should apply to New Hire/Rehire rules only and also to Class, Location, Division, and Department changes.","Updated to the waiting period rules for Mutual of Omaha plans to align with the carrier’s eligibility calculation methodology by changing the rule from “First of the Month Following 30 Day(s) from Date of Hire” to “First of the Month Following 31 Day(s) from Date of Hire.”  

This is applied to New Hire/Rehire rules only and also to Class, Location, Division, and Department changes.",0:45,0:50,1:35,,Pratyush,Nischith,Juan,05/09/2026,5,,,
May,Gilbert May dba Phillips May Corporation,Higginbotham,460191,Partner,05/14/2026,Plan Rules,"BCBSTX confirmed their retro billing cap is 60 days, not 30 (per Brandy Garcia at Higginbotham, 5/11/2026). Our current 1-month cap is out of sync with the carrier, which has driven A&R discrepancies on multiple employees. Updating to 2 months aligns Benefits Junction with the carrier's actual billing behavior.","We have updated the BCBSTX retro billing rule caps on the Gilbert May as follows:
- Addition Retro Cap: change from 1 to 2
- Termination Retro Cap: change from 1 to 2",0:13,0:30,0:43,,Jeevan S,Nischith,Juan,05/14/2026,5,,,
May,Flora Food Group,Hilb group,465401,Partner,05/14/2026,Plan Rules,"Cigna confirmed on 5/11/2026 that they bill using a ""wash method"" — no premium charged for the month of hire unless the effective date is the 1st. Medical is already configured to match this practice; Dental is not. The mismatch is driving recurring new-hire and mid-month enrollment discrepancies on reconciliations (9 employees flagged on the most recent tracker alone). Aligning Dental to Medical eliminates the issue going forward.","We have updated the Cigna retro billing rules caps on the Flora Food Group as follows:
Invoice Addition Retro Rule:?
No Premium for first month unless it is 1st? 
Addition Retro Cap:?2? 
Invoice Termination Retro Rule:?Full month premium? 
Termination Retro Cap:?2?
Funding Rules:?Fully Insured? ",0:10,0:30,0:40,,Pratap,Nischith,Juan,05/14/2026,5,,,
June,Iowa City Community School District,TrueNorth,460588,Client,06/05/2026,Auto Enrollment Setup,"Currently, teachers who do not complete new hire or open enrollment have no summer check election recorded in WFJ, resulting in missing data on the Summer Checks Changes Report. Iowa City's payroll system automatically assigns these employees to Pay Group C (June/July/August) regardless of whether an election is made in WFJ, creating a mismatch between the two systems. 
The requested change is to configure a default enrollment rule in WFJ so that any teacher who does not complete new hire or OE enrollment is automatically assigned June/July/August as their summer check election, aligning WFJ with Iowa City's payroll defaults.","We setup auto enrollment setup in BenJ so that any Teacher who does not complete new hire or OE enrollment is automatically assigned June/July/August plan as their summer check election, aligning WFJ with Iowa City's payroll defaults. ",0:45,,0:45,,Pratyush,,Juan,06/05/2026,5,,,
June,ORourke Sales Company,TrueNorth,468806,Client,06/12/2026,Plan Setup,Remove domestic partner eligibility from all benefit plans and update the system so that domestic partners are no longer available as an enrollment option,We have removed Domestic Partner eligibility from all applicable benefits plans ,1:00,1:00,2:00,,Pratap,Kiran B S,Juan,06/12/2026,5,,,
July,ATK Energy Group,TrueNorth,471464,Client,07/09/2026,Eligibility Setup,"Add a new department code ""TECO"" to the ATK Energy Group configuration. Eligibility rules for the TECO department should mirror the existing departments (no unique eligibility provisions).","We have added a new department code ""TECO"" to the ATK Energy Group configuration. Eligibility rules for the TECO department are mirror those of the existing departments (no unique eligibility provisions).",0:10,1:20,1:30,,Jeevan S,Kiran b S,Juan,07/09/2026,5,,,
July,Brightmark,Johnson & Dugan,472076,Client,07/13/2026,Eligibility Setup,"VSP Invoice Setup:
Invoice Termination Retro Rules: Termination Billing Rule from 'Full month premium if terminated after the 15th of the month' to 'Full month premium.",VSP Invoice Setup: We have updated the Termination Billing Rule from “Full month premium if terminated after the 15th of the month” to “Full month premium.”,0:10,0:30,0:40,,Jeevan S,Kiran B S,Juan,07/13/2026,5,,,
July,Brightmark,Johnson & Dugan,470414,Client,07/13/2026,Plan Setup,"Broker (Ashley Brown, Johnson & Dugan) requested that Brightmark LLC’s Voluntary Life plan be updated in BenJ to allow employees to enroll outside of a renewal or qualifying life event. UNUM confirmed this is permissible under the policy guidelines. The system is not currently set up to allow this. EOI is required from the first dollar since the employee is enrolling outside of the new hire period. ",We have updated the setup for Voluntary Life plan Employee can enroll in the plan any number of times during the year,0:10,0:50,1:00,,Pratap,Kiran B S,Juan,07/13/2026,5,,,
January,Visiting Nurse Health System,Propel Insurance,,Clients,01/02/2025,Rates Corrections,Can you update the following for the Veris Benecon plans?,Updated the following Veris Benecon plans,0:25,1:50,2:15,,Pratap,Nischith,Nitya,01/02/2026,5,,,
January,Point of Rental,Alera Group,450869,Client,01/16/2026,Plan Setup,"Update HSA so that those who elect HDHP cannot enroll in Medical FSA. So remove decline option from HSA and allow option for $0.
Since there is an ER contribution, Those enrolled cannot have Medical FSA. Limited FSA must be presented instead. 

For those currently in this situation, please do the following, make it effective 1/1/2026. 
Name	FSA	HSA
Byron White	Remove FSA	$0
Ryland Morigeau	Remove FSA	$50 per pay check
Matthew Benvenuti	Remove FSA	$20 per pay check","We checked this in Staging and below are the findings and setup changes to be made:

We need to select the option ""Yes"" for Employee contribution in HSA plan, then employee won't get the Decline option for HSA plan.

1.The employee who enrolled in Medical Non HDHP plan will get the Regular FSA plan.

2.The employee who enrolled in Medical HDHP, the HSA will be enrolled and the employee will get the Limited FSA plan.

Update HSA so that those who elect HDHP cannot enroll in Medical FSA. So remove the decline option from HSA and allow option for $0.

Since there is an ER contribution, Those enrolled cannot have Medical FSA. Limited FSA must be presented instead. 

For those currently in this situation, please do the following, make it effective 1/1/2026. 
Name	FSA	HSA
Byron White	Remove FSA	$0
Morigeau	Remove FSA	$50 per pay check
Matthew Benvenuti	Remove FSA	$20 per pay check",0:40,1:00,1:40,,Kiran B S,Nischith,Nitya,01/17/2026,5,,,
January,W.T.Rich,"LumberFi, Inc",450658,Client,01/28/2026,Plan Setup,"Change Accident Plan to admin only similar to Critical Illness and add an information only Accident Plan.  

 

Make sure to rename Accident Plan to Accident – Colonial as well.  

 

Rename Critical Illness to?Critical Illness - Colonial, Whole Life to?Whole Life - Colonial?and Term Life to?Term Life - Colonial. ","Change Accident Plan to admin only (Custom Premium) similar to Critical Illness 

Add an information only Accident Plan. similar to Critical Illness 

Update Premiums in custom premium plan 

Terminate the existing accident plan after all the above updates or delete the plan from BenJ. 

Make sure to rename Accident Plan to Accident - Colonial as well.  

Rename Critical Illness to?Critical Illness - Colonial, Whole Life to?Whole Life - Colonial?and Term Life to?Term Life - Colonial. ",2:00,2:30,4:30,,Pratap,Kiran B S,Nitya,01/28/2026,5,,,
January,Healthcare of Iowa,TrueNorth,452639,Partner,01/28/2026,Eligibility Setup,"Terminate all employees in Anamosa & Monticello locations effective 1/31/26.
Do not process COBRA terms. 
","Terminate all employees in Anamosa & Monticello locations effective 1/31/26.
Do not process COBRA terms.

In case if we need to update Do Not Use like how we did not past, do that as well.
",1:00,,1:00,,Kiran B S,Nischith,Nitya,01/31/2026,5,,,
February,Thompson Concrete,"LumberFi, Inc",454010,Client,02/06/2026,Plan Setup,"Update Dental and Vision Rates. Use highlighted rates. If EE pays the whole amount then update. If shared between EE and ER, add or remove from ER cost so deductions stay the same.",Updating the Premium rates for the Plans dental and Vision.,0:10,0:50,1:00,,Pratap,Nischith,Nitya,02/07/2026,5,,,
February,Quest Building Corp,"LumberFi, Inc",454207,Partner,02/10/2026,Eligibility Setup,"Create an Owners Department with EE deductions = $0 for the following plans. Medical,Dental,Vision","Create an Owners Department with EE deductions = $0 for the following plans for Medical,Dental,Vision. Owners department is eligible for all the plans",0:40,1:40,2:20,,Pratap,Kiran B S,Nitya,02/10/2026,5,,,
February,K2 Construction,"LumberFi, Inc",454665,Partner,02/12/2026,Eligibility Setup,Create a location called: Frontier Environmental and move employees. Should have same benefit structure as K2.  ,Create a new location named “Frontier Environmental” should have same benefit structure and eligibility as K2 Construction Location.,0:10,1:40,1:50,,Pratap,Kiran B S,Nitya,02/12/2026,5,,,
February,Precision Group,"LumberFi, Inc",454898,Clients,02/16/2026,Plan Setup,Please remove PCP requirement for Medical plan type ,Please remove PCP setup for Medical plan type,0:10,0:30,0:40,,Pratap,Nischith,Nitya,02/16/2026,5,,,
March,Stratus Systems LLC,"LumberFi, Inc",456767,Client,03/04/2026,Waiting Period Rules,"Update rehire rule to “within 120 days of termination, FOMF rehire date” ","Update rehire rule to “within 120 days of termination, FOMF rehire date for all the plans. ",0:20,0:50,1:10,,Pratyush,Nischith,Nitya,03/04/2026,5,,,
March,Wagner Roofing Company,"LumberFi, Inc",452163,Client,03/10/2026,Eligibility Setup,Add Jacks Roofing and Wagner Roofing as Locations,"Add Jacks Roofing as Location in our system and make eligibility the same as the Location of All Employees and Department All Employees.

In regard to renaming location All Employees to Wagner Roofing, we need to check with Russ as this is mapped to Noyo.

Process the census data provided in the email.
",0:20,0:50,1:10,,Kiran B S,Nischith,Nitya,03/10/2026,5,,,
March,AXISCADES,TrueNorth,456101,Partner,03/11/2026,Waiting Period Rules,Update Life and Disability termination rule to EOM. ,Status termination rule for all Principal plans should be last day of the month. Hence copy the waiting period rules from accident plan for all the Principal carrier. ,0:20,0:50,1:10,,Kiran B S,Nischith,Nitya,03/11/2026,5,,,
March,Visiting Nurse Health System,Propel Insurance,452768,Partner,03/13/2026,Rates Corrections,Please update the Medical plans to self-funded and update the rates for all Medical plans,Updated the Medical plans to self-funded and updated the rates for all Medical plans,1:05,1:40,2:45,,Pratyush,Kiran B S,Nitya,03/13/2026,5,,,
March,AXISCADES,TrueNorth,457132,Partner,03/14/2026,Plan Details Corrections,"Voluntary Life insurance, spouse rates will be determined based on the spouse’s age.  

LTD and STD benefits, the benefit amount will be rounded to the nearest whole dollar","Updated the Configuration rules

Voluntary Life insurance, spouse rates will be determined based on the spouse’s age.  

LTD and STD benefits, the benefit amount will be rounded to the nearest whole dollar",0:20,2:00,2:20,,Pratap,Kiran B S,Nitya,03/16/2026,5,,,
March,AXISCADES,TrueNorth,457895,Partner,03/25/2026,Rates Corrections,"Update Medical setup – change plans to self-insured and update fees for both plans with the following: 
| Coverage Tier                | Stop Loss | Medical Admin |
| --------------------- --------| --------- ---| ------------- -------|
| Employee Only              | $202.63   | $64.48                |
| Employee + Spouse      | $547.10   | $174.08              |
| Employee + Child(ren) | $405.27   | $128.95              |
| Family                             | $688.94   | $219.21              |","Change the Medical plan setup from Fully Insured to Self-Funded and update Total Premium under FIE and add the below Stop Loss and Admin Fee

| Coverage Tier                | Stop Loss | Medical Admin |
| --------------------- --------| --------- ---| ------------- -------|
| Employee Only              | $202.63   | $64.48                |
| Employee + Spouse      | $547.10   | $174.08              |
| Employee + Child(ren) | $405.27   | $128.95              |
| Family                             | $688.94   | $219.21              |",0:30,0:50,1:20,,Kiran B S,Nischith,Nitya,03/25/2026,5,,,
March,Precision Group,"LumberFi, Inc",459079,Client,03/24/2026,Eligibility Setup,"Update Deparments
-	Separate Shareholder and Retiree
o	Shareholder - eligible for all benefits. Medical and Dental deductions are post tax.
o	Retiree - eligible for Basic Life and Dental.
-	Move Jason and Todd to Shareholder group
-	Sharon Gray will be in Retiree group
-	Update Lumber Payroll System

","Separate department Shareholder and Retiree

Delete Shareholder or Retiree and Add new department Shareholder (Non-HSA)
Add new department Retiree


o	Shareholder (Non-HSA) department should have similar eligibility as Managers (Non-HSA)
o	Shareholders (Non-HSA) – make it eligible for all benefits. Medical and Dental deductions are post tax.
o	Retiree - eligible for Basic Life and Dental.
-	Move Jason Shye and Todd Gary to Shareholder (Non-HSA) group effective 4/1/2026
-	Sharon Gray will be in Retiree group effective 4/1/2026
-	Rename the basic life plan from Basic Life - Shareholder or Retiree to Basic Life - Retiree
-	Update Lumber Payroll System

",0:35,1:30,2:05,,Kiran B S,Nischith,Nitya,03/26/2026,4,,,
April,AXISCADES,TrueNorth,457132,Partner,04/16/2026,Plan Details Corrections,"Voluntary Critical Illness, spouse rates will be determined based on the spouse’s age.","Updated the Configuration Rules
Voluntary Critical Illness, Spouse rates will be determined based on the spouse's age",0:10,1:30,1:40,,Pratap,Kiran B S,Nitya,04/16/2026,5,,,
April,Point of Rental,Alera Group,461933,Partner,04/16/2026,Waiting Period Rules,"rehire rule to be if rehired within 13 weeks, date of rehire ","Rehire Rule Has Updated
From “First of the Month Following 0 Day(s) from Date of Rehire” 
To ”Date of Rehire” ",0:24,1:30,1:54,,Pratap,Kiran B S,Nitya,04/16/2026,5,,,
April,Thompson Concrete,"LumberFi, Inc",460116,Client,04/17/2026,Rates Corrections,"Reason: There is a significant difference between the premium 
listed on the invoice and the premium in Benefits Junction.",Update the Self-funded Invoice rates from the latest period plan year that is from 1/1/2026 to the below rates for all the Medical plans to match carrier invoice provided by client. (attached),0:34,1:30,2:04,,Jeevan S,Kiran B S,Nitya,04/17/2026,4,,,
April,Evans Contracting Group,"LumberFi, Inc",462661,Client,04/22/2026,Eligibility Setup,"Create a department “Exception” and update the deductions rates for Michael Cox – deductions for Medical plan needs to be 50% of current deductions. 
So his weekly cost should be $150.31 for EE+SP coverage. ","Created a new department “Exception” and updated the deductions rates for EE# Michael Cox – deductions for Medical plan are 50% of current deductions. 
So his weekly cost is $150.31 for EE+SP coverage. ",1:10,1:30,2:40,,Pratyush,Kiran B S,Nitya,04/22/2026,5,,,
April,Ahern,M3 Insurance,459752,Client,04/30/2026,Work Info,Create a Custom Field called “Final Payroll Process Date” under Work Info and do not make it mandatory and enable in reports. ,"Created a Custom Field called “Final Payroll Process Date” under Work Info and enabled in reports.
This for tracking the FSA HC/DC plans when employee is terminated",0:45,0:30,1:15,,Pratyush,Kiran B S,Nitya,04/30/2026,5,,,
May,SOAR Transport,"Russ Blakely & Associates, LLC",462984,Partner,05/09/2026,Waiting Period Rules,"Update MOO plans waiting period to First of the Month Following or Coinciding with 61 Day(s) from Date of Hire. The same applies to Rehire rules.
Update effective for Matthew Kramer and Gary Millsap to 6/1/2026","We have updated the MOO plans waiting period to the first of the month following or coinciding with 61 day(s) from the date of hire. The same applies to rehire rules, and the update is effective for Matthew Kramer and Gary Millsap as of 6/1/2026. Please review.",0:07,0:50,0:57,,Jeevan S,Nischith,Nitya,05/09/2026,5,,,
May,AXISCADES,TrueNorth,466610,Partner,05/22/2026,Plan Rules,"Update billing rules for Ameritas carrier:  

No premium for the first month unless it is the 1st. 

The termination rules should remain the same as “Full month premium. ","We have Updated Billing Rules for Ameritas Carrier Plans like Dental, Vision Plans Invoice Addition Retro Rules listed as follows:
Invoice Addition Retro Rules:
- Full Month Premium"" to "" No premium for the first month unless it is the 1st ""
Invoice Termination Retro Rules:
-Its remains same as ""Full month premium""",0:18,0:40,0:58,,Pratap,Kiran B S,Nitya,05/22/2026,5,,,
May,Ahern,M3 Insurance,452538,Partner,05/29/2026,Plan Rules,"Update billing rules 

No premium for the first month unless the effective date is the 1st of the month for Additions Correct 

Full month premium for Terminations Correct, and coverage will continue through the end of the month ",Updated the billing rule for Carrier - The Standard,0:10,0:50,1:00,,Jeevan S,Kiran B S,Nitya,05/29/2026,5,,,
June,Point of Rental,Alera Group,465531,Partner,06/05/2026,Waiting Period Rules,"Change the Rehire rule for Mutual of Omaha carrier for department AllOth, DeptMgr, NonTXFTemp and OKFTemp 

Rehire within 91 days 
First of the Month Following 0 Day(s) from Date of Rehire 

Rehire after 91 days
First of the Month Following 14 Day(s) from Date of Rehire 

Update:, Phillips, Elyse N MOO plans should be effective June 1st. ","Updated the Rehire rule from
Rehire within 91 days 
First of the Month Following 0 Day(s) from Date of Rehire 

Rehire after 91 days 
First of the Month Following 30 Day(s) from Date of Rehire
to
Rehire within 91 days 
First of the Month Following 0 Day(s) from Date of Rehire 

Rehire after 91 days 
First of the Month Following 14 Day(s) from Date of Rehire 

We have updated Phillips, Elyse N MOO plans should be effective June 1st",0:45,1:45,2:30,,Jeevan S,Kiran B S,Nitya,06/05/2026,5,,,
June,Evans Contracting Group,"LumberFi, Inc",469160,Partner,06/12/2026,Plan Setup,Update UHC plans and rates,"We have Ended the current medical plan with 5/31/2026.

1.	We have added the new medical plan in BenJ with new Premiums and Contributions with 6/1/2026
2.	Send new Plan ID to Lumber
3.	Send revised deductions for Medical to Lumber. What will happen to payroll as the they are doing payroll tomorrow (6/12/2026)
4.	Noyo to change the Dynamic Mapping.
5.	Send the census snapshots for all.
",1:00,1:20,2:20,,Pratap,Nischith,Nitya,06/12/2026,4,,,
June,Point of Rental,Alera Group,465531,Client,06/12/2026,Waiting Period Rules,"Please update new hire rule for all departments to “1st of the month following 14 days of Date of Hire” for all plans. 
Update the rehire rule as well – should be after 91 days, “1st of the month following 14 days of Date of rehire”. Within 91 days, it’s FOMF 0 days of rehire
","Effective June 1: Add new period plan year.

Please update new hire rule for all departments to “1st of the month following 14 days of Date of Hire” for all plans. 

Update the rehire rule as well – should be after 91 days, “1st of the month following 14 days of Date of rehire”. Within 91 days, it’s FOMF 0 days of rehire.

Check all plans once if the rules are same for all CLDD and New Hire, Rehire and Termination then we can remove Waiting Period Rules Based On : Department.	
",1:00,2:20,3:20,,Shilpa,Nischith,Nitya,06/12/2026,5,,,
June,AXISCADES,TrueNorth,468870,Client,06/17/2026,Plan Setup,For Principal plans – update base age for rate calculation to be prior Plan Anniversary Date,"We have updated the Voluntary Critical Illness Plan setup for Base Age used in rate calculation for new hires.

Previously, the Plan Effective Date was configured to determine age as of the effective date. 

For the plan period 01/01/2026 to 12/31/2026, the base age has been set as 01/01/2026.
For the plan period 01/01/2027 to 12/31/2027, the base age has been set as 01/01/2027.",0:15,1:30,1:45,,Pratap,Kiran B S,Nitya,06/17/2026,5,,,
June,Ahern,M3 Insurance,470879,Client,06/30/2026,Eligibility Setup,"Update location name of Michigan to “Kingsford” 
No change to location code",We have updated the Department name of Michigan to “Kingsford” ,0:10,0:30,0:40,,Jeevan S,Nischith,Nitya,06/30/2026,5,,,
